江苏电信-组播1,#genre#
河南梨园,http://﻿http://49.65.86.7:58888/udp/239.49.8.193:8000
河南武术世界,http://﻿http://49.65.86.7:58888/udp/239.49.0.205:8000
河南文物宝库,http://﻿http://49.65.86.7:58888/udp/239.49.0.209:8000
湖北快乐垂钓,http://﻿http://49.65.86.7:58888/udp/239.49.0.114:8000
湖南茶频道,http://﻿http://49.65.86.7:58888/udp/239.49.0.146:8000
湖南金鹰纪实,http://﻿http://49.65.86.7:58888/udp/239.49.8.79:8000
湖南金鹰卡通,http://﻿http://49.65.86.7:58888/udp/239.49.8.33:8000
贵州天元围棋,http://﻿http://49.65.86.7:58888/udp/239.49.1.79:8000
精彩推荐,http://﻿http://49.65.86.7:58888/udp/239.49.0.190:9458
精彩推荐,http://﻿http://49.65.86.7:58888/udp/239.49.8.34:8612

南京少儿,http://﻿http://49.65.86.7:58888/udp/239.49.0.45:8000
南京影视,http://﻿http://49.65.86.7:58888/udp/239.49.0.24:8000
南京文旅纪录,http://﻿http://49.65.86.7:58888/udp/239.49.0.38:8000
南京新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.25:8192
南京生活频道,http://﻿http://49.65.86.7:58888/udp/239.49.0.26:8200
南京科教频道,http://﻿http://49.65.86.7:58888/udp/239.49.0.183:9434
南京高淳新闻,http://﻿http://49.65.86.7:58888/udp/239.49.0.74:8000
无锡新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.1.77:8000
无锡都市资讯,http://﻿http://49.65.86.7:58888/udp/239.49.1.78:8000
徐州1,http://﻿http://49.65.86.7:58888/udp/239.49.0.203:8000
徐州2,http://﻿http://49.65.86.7:58888/udp/239.49.0.199:8000
徐州3,http://﻿http://49.65.86.7:58888/udp/239.49.0.211:8000
徐州新沂1,http://﻿http://49.65.86.7:58888/udp/239.49.0.238:8000
徐州沛县新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.214:8000
徐州睢宁综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.239:8000
徐州贾汪新闻,http://﻿http://49.65.86.7:58888/udp/239.49.0.248:8000
徐州邳州综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.182:8000
徐州铜山1,http://﻿http://49.65.86.7:58888/udp/239.49.0.163:8000
新沂生活,http://﻿http://49.65.86.7:58888/udp/239.49.0.124:8000
常州公共,http://﻿http://49.65.86.7:58888/udp/239.49.0.218:9582
常州新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.1.83:8000
常州生活,http://﻿http://49.65.86.7:58888/udp/239.49.1.85:8000
常州生活,http://﻿http://49.65.86.7:58888/udp/239.49.0.219:9586
常州综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.221:9594
常州都市,http://﻿http://49.65.86.7:58888/udp/239.49.1.84:8000
常州都市,http://﻿http://49.65.86.7:58888/udp/239.49.0.220:9590
常州金坛电视台,http://﻿http://49.65.86.7:58888/udp/239.49.1.54:8000
苏州生活资讯5,http://﻿http://49.65.86.7:58888/udp/239.49.8.116:8000
南通公共,http://﻿http://49.65.86.7:58888/udp/239.49.0.197:8000
南通新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.223:8000
南通社教,http://﻿http://49.65.86.7:58888/udp/239.49.0.224:8000
连云港东海综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.121:8000
连云港新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.225:8000
连云港生活频道,http://﻿http://49.65.86.7:58888/udp/239.49.0.229:8000
连云港赣榆电视台,http://﻿http://49.65.86.7:58888/udp/239.49.0.241:8000
淮安公共,http://﻿http://49.65.86.7:58888/udp/239.49.0.181:8000
淮安影视娱乐,http://﻿http://49.65.86.7:58888/udp/239.49.0.192:8000
淮安新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.204:8000
淮安洪泽1,http://﻿http://49.65.86.7:58888/udp/239.49.0.89:8000
淮安淮阴综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.169:8000
淮安盱眙综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.237:8000
盐城1,http://﻿http://49.65.86.7:58888/udp/239.49.8.30:8000
盐城2,http://﻿http://49.65.86.7:58888/udp/239.49.0.88:8000
盐城响水综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.115:8912
镇江新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.98:8000
镇江民生教育,http://﻿http://49.65.86.7:58888/udp/239.49.1.73:8000
泰州1,http://﻿http://49.65.86.7:58888/udp/239.49.0.215:8000
泰州2,http://﻿http://49.65.86.7:58888/udp/239.49.0.217:8000
泰州3,http://﻿http://49.65.86.7:58888/udp/239.49.0.222:8000
泰州兴化新闻综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.162:8000
泰州泰兴综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.168:8000
宿迁公共,http://﻿http://49.65.86.7:58888/udp/239.49.0.236:8000
宿迁宿豫综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.83:8000
宿迁沭阳综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.189:8792
宿迁泗洪综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.195:8000
宿迁综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.231:8000
泗阳综合,http://﻿http://49.65.86.7:58888/udp/239.49.0.249:8000

CCTV16_4k(SDR),http://﻿http://49.65.86.7:58888/udp/239.49.0.109:8000
苏超1,http://﻿http://49.65.86.7:58888/udp/239.49.8.96:8000
