2026/09/10 20:13更新,#genre#
中国天气,http://s.zssss.eu.org:888/udp/239.94.1.167:5140
华数经典电影,http://s.zssss.eu.org:888/udp/239.94.1.21:5140
华数热播剧场,http://s.zssss.eu.org:888/udp/239.94.1.25:5140
华数魅力时尚,http://s.zssss.eu.org:888/udp/239.94.1.39:5140
华数少儿动画,http://s.zssss.eu.org:888/udp/239.94.1.33:5140
华数谍战剧场,http://s.zssss.eu.org:888/udp/239.94.1.28:5140
iHOT爱谍战,http://s.zssss.eu.org:888/udp/239.94.1.134:5140
iHOT爱动漫,http://s.zssss.eu.org:888/udp/239.94.1.141:5140
iHOT爱科幻,http://s.zssss.eu.org:888/udp/239.94.1.131:5140
iHOT爱浪漫,http://s.zssss.eu.org:888/udp/239.94.1.128:5140
iHOT爱历史,http://s.zssss.eu.org:888/udp/239.94.1.135:5140
iHOT爱旅行,http://s.zssss.eu.org:888/udp/239.94.1.137:5140
iHOT爱奇谈,http://s.zssss.eu.org:888/udp/239.94.1.130:5140
iHOT爱赛车,http://s.zssss.eu.org:888/udp/239.94.1.144:5140
iHOT爱体育,http://s.zssss.eu.org:888/udp/239.94.1.44:5140
iHOT爱体育,http://s.zssss.eu.org:888/udp/239.94.1.143:5140
iHOT爱玩具,http://s.zssss.eu.org:888/udp/239.94.1.140:5140
iHOT爱喜剧,http://s.zssss.eu.org:888/udp/239.94.1.129:5140
iHOT爱喜剧,http://s.zssss.eu.org:888/udp/239.94.2.71:5140
iHOT爱悬疑,http://s.zssss.eu.org:888/udp/239.94.1.136:5140
iHOT爱幼教,http://s.zssss.eu.org:888/udp/239.94.1.139:5140
iHOT爱院线,http://s.zssss.eu.org:888/udp/239.94.1.132:5140
爱生活高清专区,http://s.zssss.eu.org:888/udp/239.94.1.41:5140
爱宠宠物专区,http://s.zssss.eu.org:888/udp/239.94.1.145:5140
爱上4K,http://s.zssss.eu.org:888/udp/239.94.0.21:5140
浙江电竞天堂,http://s.zssss.eu.org:888/udp/239.94.1.45:5140
江苏优漫卡通,http://s.zssss.eu.org:888/udp/239.94.1.31:5140
北京四海钓鱼,http://s.zssss.eu.org:888/udp/239.94.1.168:5140
北京环球旅游,http://s.zssss.eu.org:888/udp/239.94.1.147:5140
北京戏曲,http://s.zssss.eu.org:888/udp/239.94.1.38:5140
北京纪实科教,http://s.zssss.eu.org:888/udp/239.94.0.109:5140
北京卡酷少儿,http://s.zssss.eu.org:888/udp/239.94.1.29:5140
山西书画频道,http://s.zssss.eu.org:888/udp/239.94.1.163:5140
呼和浩特足球,http://s.zssss.eu.org:888/udp/239.94.1.47:5140
辽宁家庭理财,http://s.zssss.eu.org:888/udp/239.94.1.50:5140
上海东方财经,http://s.zssss.eu.org:888/udp/239.94.1.59:5140
上海动漫秀场,http://s.zssss.eu.org:888/udp/239.94.1.171:5140
上海游戏风云,http://s.zssss.eu.org:888/udp/239.94.1.46:5140
上海乐游,http://s.zssss.eu.org:888/udp/239.94.1.164:5140
上海法治天地,http://s.zssss.eu.org:888/udp/239.94.1.166:5140
上海都市剧场,http://s.zssss.eu.org:888/udp/239.94.1.133:5140
上海多彩文体4K,http://s.zssss.eu.org:888/udp/239.94.1.176:5140
上海金色学堂,http://s.zssss.eu.org:888/udp/239.94.1.165:5140
上海生活时尚,http://s.zssss.eu.org:888/udp/239.94.1.40:5140
上海生活时尚,http://s.zssss.eu.org:888/udp/239.94.1.146:5140
江苏财富天下,http://s.zssss.eu.org:888/udp/239.94.1.42:5140
江苏财富天下,http://s.zssss.eu.org:888/udp/239.94.1.67:5140
湖北精彩影视,http://s.zssss.eu.org:888/udp/239.94.1.172:5140
湖北快乐垂钓,http://s.zssss.eu.org:888/udp/239.94.1.153:5140
湖南金鹰纪实,http://s.zssss.eu.org:888/udp/239.94.1.1:5140
湖南金鹰卡通,http://s.zssss.eu.org:888/udp/239.94.1.30:5140
广东嘉佳卡通,http://s.zssss.eu.org:888/udp/239.94.1.10:5140
贵州天元围棋,http://s.zssss.eu.org:888/udp/239.94.1.152:5140
精彩推荐,http://s.zssss.eu.org:888/udp/239.94.2.10:5140

成都-1综合,http://s.zssss.eu.org:888/udp/239.94.0.154:5140
成都-2经济,http://s.zssss.eu.org:888/udp/239.94.0.155:5140
成都-3生活,http://s.zssss.eu.org:888/udp/239.94.0.156:5140
成都-4影视,http://s.zssss.eu.org:888/udp/239.94.0.157:5140
成都-5公共,http://s.zssss.eu.org:888/udp/239.94.0.158:5140
成都-6少儿,http://s.zssss.eu.org:888/udp/239.94.0.159:5140
成都-8每日购物,http://s.zssss.eu.org:888/udp/239.94.0.160:5140
自贡文化生活,http://s.zssss.eu.org:888/udp/239.94.0.178:5140
自贡综合,http://s.zssss.eu.org:888/udp/239.94.0.169:5140
攀枝花新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.168:5140
泸州新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.163:5140
泸州科教生活,http://s.zssss.eu.org:888/udp/239.94.0.182:5140
德阳文旅科教,http://s.zssss.eu.org:888/udp/239.94.0.165:5140
德阳新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.176:5140
广元文化生活,http://s.zssss.eu.org:888/udp/239.94.0.179:5140
广元综合,http://s.zssss.eu.org:888/udp/239.94.0.167:5140
内江科教生活,http://s.zssss.eu.org:888/udp/239.94.0.181:5140
内江综合,http://s.zssss.eu.org:888/udp/239.94.0.164:5140
乐山文旅生活,http://s.zssss.eu.org:888/udp/239.94.0.173:5140
乐山新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.162:5140
眉山文旅乡村,http://s.zssss.eu.org:888/udp/239.94.0.174:5140
眉山综合,http://s.zssss.eu.org:888/udp/239.94.0.170:5140
宜宾公共频道,http://s.zssss.eu.org:888/udp/239.94.0.172:5140
宜宾新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.161:5140
雅安文化生活,http://s.zssss.eu.org:888/udp/239.94.0.180:5140
雅安新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.166:5140
资阳新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.183:5140
凉山彝语综合,http://s.zssss.eu.org:888/udp/239.94.0.175:5140
凉山新闻综合,http://s.zssss.eu.org:888/udp/239.94.0.171:5140

1-14（数字电视）,http://s.zssss.eu.org:888/udp/239.94.1.14:5140
4K乐享超清,http://s.zssss.eu.org:888/udp/239.94.1.162:5140
4K少儿,http://s.zssss.eu.org:888/udp/239.94.1.70:5140
4K纪实,http://s.zssss.eu.org:888/udp/239.94.1.69:5140
4K视界,http://s.zssss.eu.org:888/udp/239.94.1.60:5140
bestv,http://s.zssss.eu.org:888/udp/239.94.2.57:5140
i乐山,http://s.zssss.eu.org:888/udp/239.94.2.2:5140
i成都,http://s.zssss.eu.org:888/udp/239.94.2.1:5140
云看熊猫,http://s.zssss.eu.org:888/udp/239.94.1.7:5140
亲子趣学4k,http://s.zssss.eu.org:888/udp/239.94.1.156:5140
健康养生,http://s.zssss.eu.org:888/udp/239.94.1.27:5140
全球大片,http://s.zssss.eu.org:888/udp/239.94.1.24:5140
军事,http://s.zssss.eu.org:888/udp/239.94.1.52:5140
华语影院,http://s.zssss.eu.org:888/udp/239.94.1.22:5140
地理,http://s.zssss.eu.org:888/udp/239.94.1.54:5140
墨宝,http://s.zssss.eu.org:888/udp/239.94.1.51:5140
大爱四川,http://s.zssss.eu.org:888/udp/239.94.1.12:5140
宝宝动画,http://s.zssss.eu.org:888/udp/239.94.1.32:5140
导视,http://s.zssss.eu.org:888/udp/239.94.1.55:5140
少儿天地,http://s.zssss.eu.org:888/udp/239.94.1.138:5140
峨眉电影,http://s.zssss.eu.org:888/udp/239.94.0.103:5140
峨眉电影,http://s.zssss.eu.org:888/udp/239.94.2.209:5140
戏曲精选,http://s.zssss.eu.org:888/udp/239.94.1.37:5140
收视指南,http://s.zssss.eu.org:888/udp/239.94.1.56:5140
星光院线,http://s.zssss.eu.org:888/udp/239.94.1.23:5140
来钓鱼吧,http://s.zssss.eu.org:888/udp/239.94.1.148:5140
求索,http://s.zssss.eu.org:888/udp/239.94.1.142:5140
热门剧场,http://s.zssss.eu.org:888/udp/239.94.1.26:5140
热门综艺,http://s.zssss.eu.org:888/udp/239.94.1.35:5140
熊猫体娱,http://s.zssss.eu.org:888/udp/239.94.1.4:5140
熊猫少儿,http://s.zssss.eu.org:888/udp/239.94.1.5:5140
熊猫影院,http://s.zssss.eu.org:888/udp/239.94.1.6:5140
熊猫新闻,http://s.zssss.eu.org:888/udp/239.94.1.3:5140
熊猫爱生活,http://s.zssss.eu.org:888/udp/239.94.1.11:5140
百变课堂,http://s.zssss.eu.org:888/udp/239.94.1.43:5140
直播室1,http://s.zssss.eu.org:888/udp/239.94.2.11:5140
直播室2,http://s.zssss.eu.org:888/udp/239.94.2.12:5140
直播室3,http://s.zssss.eu.org:888/udp/239.94.2.13:5140
直播室4,http://s.zssss.eu.org:888/udp/239.94.2.14:5140
直播室5,http://s.zssss.eu.org:888/udp/239.94.2.15:5140
直播室6,http://s.zssss.eu.org:888/udp/239.94.2.16:5140
直播室7,http://s.zssss.eu.org:888/udp/239.94.2.17:5140
直播室8,http://s.zssss.eu.org:888/udp/239.94.2.18:5140
看天下精选,http://s.zssss.eu.org:888/udp/239.94.1.68:5140
精彩导视,http://s.zssss.eu.org:888/udp/239.94.1.63:5140
红色影院,http://s.zssss.eu.org:888/udp/239.94.1.48:5140
经典剧场,http://s.zssss.eu.org:888/udp/239.94.1.49:5140
绚影4K,http://s.zssss.eu.org:888/udp/239.94.1.150:5140
综艺咖秀,http://s.zssss.eu.org:888/udp/239.94.2.27:5140
综艺咖秀,http://s.zssss.eu.org:888/udp/239.94.2.28:5140
蓉城先锋,http://s.zssss.eu.org:888/udp/239.94.1.57:5140
解密,http://s.zssss.eu.org:888/udp/239.94.1.53:5140
金熊猫卡通,http://s.zssss.eu.org:888/udp/239.94.1.8:5140
青春动漫,http://s.zssss.eu.org:888/udp/239.94.1.34:5140
音乐现场,http://s.zssss.eu.org:888/udp/239.94.1.36:5140
